Code,Open,High,Low,Close,Volume,Datetime
KRW-WAXP,262,263,262,263,62910.41056777,2021-03-20T17:45:00Z
KRW-WAXP,262,264,262,263,56517.28870463,2021-03-20T17:48:00Z
KRW-WAXP,263,263,259,260,671636.55217156,2021-03-20T17:51:00Z
KRW-WAXP,260,261,258,258,464589.61958162,2021-03-20T17:54:00Z
KRW-WAXP,258,262,257,258,311077.57810405,2021-03-20T17:57:00Z
KRW-WAXP,260,262,257,259,158701.70848274,2021-03-20T18:00:00Z
KRW-WAXP,260,261,258,260,90723.50381073,2021-03-20T18:03:00Z
KRW-WAXP,260,260,259,259,103863.34448626,2021-03-20T18:06:00Z
KRW-WAXP,259,260,258,259,67844.67654242,2021-03-20T18:09:00Z
KRW-WAXP,260,260,259,259,70775.92106682,2021-03-20T18:12:00Z
KRW-WAXP,259,262,259,262,260964.78279834,2021-03-20T18:15:00Z
KRW-WAXP,260,265,260,262,215466.62918998,2021-03-20T18:18:00Z
KRW-WAXP,263,263,262,263,46935.70081226,2021-03-20T18:21:00Z
KRW-WAXP,263,264,262,263,38611.83611436,2021-03-20T18:24:00Z
KRW-WAXP,264,265,263,264,86268.05992674,2021-03-20T18:27:00Z
KRW-WAXP,265,265,263,264,41549.7282716,2021-03-20T18:30:00Z
KRW-WAXP,264,264,263,263,41355.93410689,2021-03-20T18:33:00Z
KRW-WAXP,264,265,263,264,21123.69454057,2021-03-20T18:36:00Z
KRW-WAXP,263,265,262,262,38582.3947122,2021-03-20T18:39:00Z
KRW-WAXP,262,263,262,262,15377.8511498,2021-03-20T18:42:00Z
KRW-WAXP,263,263,262,262,46095.90630239,2021-03-20T18:45:00Z
KRW-WAXP,263,264,262,264,87669.15373847,2021-03-20T18:48:00Z
KRW-WAXP,264,266,264,266,106727.55084256,2021-03-20T18:51:00Z
KRW-WAXP,266,268,265,267,128130.02658013,2021-03-20T18:54:00Z
KRW-WAXP,268,269,267,267,52634.2652646,2021-03-20T18:57:00Z
KRW-WAXP,267,268,267,267,52960.45947176,2021-03-20T19:00:00Z
KRW-WAXP,267,268,267,267,27831.10424922,2021-03-20T19:03:00Z
